Ender-3   BOM,,,,,
Part Code,Part Name,Specification,UNIT,Qty,
200101027,Control panel,1284P,PCS,1,
200102010,LCD,,PCS,1,
400101002,E plate,2.5mm,PCS,1,
400101005,Y Motor holder,3mm,PCS,1,
400101006,X Adjustment Block,3mm,PCS,1,
400101027,Z Stent,3.0mm,PCS,1,
400101029,Fan cover,0.8mm,PCS,1,
400101081,Support frame,2.0mm,PCS,1,
400101103,E motor bracket,2.5mm，B1,PCS,1,
400101104,X motor bracket,3mm，B1,PCS,1,
400101130,Sheetmetal enclosure bottom,0.8MM,PCS,1,
400101131,Sheetmetal enclosure top,0.8MM,PCS,1,
400101133,LCD support,2MM,PCS,1,
400101007,Y Adjustment Block,3mm,PCS,1,
400101129,Y plate,4mm,PCS,1,
400102065,2020 Top Profile,20*20-L330,PCS,1,
400102066,2020 X Profile,20*20-L345,PCS,1,
400102067,2040 Y Profile,20*40-L330,PCS,1,
400102068,2040 Right Profile,20*40-L400,PCS,1,
400102069,2040 Left Profile,20*40-L400,PCS,1,
400102070,4040 Central Profile,40*40-L250,PCS,1,
400102071,4040 Left Profile,40*40-L290,PCS,1,
400102072,4040 Right Profile,40*40-L290-2,PCS,1,
400103001,E gear,D11-40,PCS,1,
400104004,Heat block,20*20*10,PCS,1,
400105008,Radiator,"12*20*27.8mm,2*M3",PCS,1,
400106003,nozzle,0.4mm,PCS,2,
400107006,Catheter,D7-M6-L28mm,PCS,1,
400108001,Spacers for rollers,D8-d5-H-8.35mm,PCS,11,
400108002,Eccentric column,D7.2-d5-H-8.35mm,PCS,5,
400201001,42-34 Motor,JK42HS34-0844YA-03F,PCS,3,
400201004,42-40 Motor,JK42HS40-1004AC-01F,PCS,1,
400202002,624U  Pillow,624U,PCS,1,
400202003,F688ZZ  Pillow,F688ZZ,PCS,4,
400202004,625ZZ Pillow,625ZZ,PCS,26,
400204002,Extrusion Spring,1.1*8*L22,PCS,5,
400205002,M2*8  Socket Head Screw,M2*8,PCS,2,
400205003,M2*10 Socket Head Screw,M2*10,PCS,2,
400205007,M3*18 Socket Head Screw,M3*18,PCS,1,
400205013,M4*8Socket Head Screw,M4*8,PCS,7,
400205014,M4*10 Socket Head Screw,M4*10,PCS,2,
400205015,M4*16 Socket Head Screw,M4*16,PCS,4,
400205018,M3*3  screw,M3*3,PCS,4,
400205019,M4  screw,M4,PCS,4,
400205021,M3*4  Pan Head Screw,M3*4,PCS,1,
400205029,M3*6  Pan Head Screw,M3*6,PCS,18,
400205031,M3*10 Pan Head Screw,M3*10,PCS,12,
400205032,M3*16 Pan Head Screw,M3*16,PCS,5,
400205044,M5*8 Pan Head Screw,M5*8,PCS,8,
400205053,M5*30 Pan Head Screw,M5*30,PCS,10,
400205055,M5*40 Pan Head Screw,M5*40,PCS,3,
400205060,M3*10 Pan Head Screw,M3*10-P,PCS,1,
400205068,M4*14  Pan Head Screw,M4*14-P,PCS,2,
400205074,M4*35 Flush Head Screw,M4*35-P,PCS,4,
400205097,M5 Self-locking nut,M5,PCS,13,
400205098,M8 Self-locking nut,M8,PCS,2,
400205101,M4  T-Slot Nut,M4T,PCS,8,
400205102,M5  T-Slot Nut,M5T,PCS,3,
400205105,M3 Split Washer,M3,PCS,6,
400205106,M4  Split Washer,M4,PCS,7,
400205107,M5  Split Washer,M5,PCS,12,
400205109,M5  washer,M5,PCS,5,
400205110,M5  washer1,5*8*1,PCS,13,
400205111,z nut,T8*8,PCS,1,
400205122,M4*20  Socket Head Screw,M4*20,PCS,3,
400205140,M4*18  Pan Head Screw,M4*18-P,PCS,2,
400205141,M3*40  Pan Head Screw,M3*40-P,PCS,4,
400205144,M3*18  Pan Head Screw,M3*18-P,PCS,2,
