Category;Description;Qty Needed;Qty Available (2x Ender 3);Status;Notes
Fasteners;2020 Drop-in T-nut, M5;69;6;Partial;6x M5 T-slot nuts from Ender 3 (3 each)
;M5x40 BHCS;4;4;Have;4x M5*40 socket head screws from Ender 3 (2 each) - exact match
;M5x30 BHCS;4;20;Partial;20x M5*30 pan head screws available (10 each) - pan head not BHCS, verify if acceptable
;M5x16 BHCS;58;0;Don't have;
;M5x10 BHCS;45;0;Don't have;16x M5*8 pan head available (wrong size and head type)
;M5 1mm Spacer;24;0;Don't have;
;M5xD7xL6 Heat Set;15;0;Don't have;
;M4x6 BHCS;7;14;Partial;14x M4*8 socket head screws available (7 each) - 2mm longer, verify fit
;M4 Knurled Nut;3;0;Don't have;
;M3x50 SHCS;2;0;Don't have;
;M3x40 SHCS;9;8;Partial;8x M3*40 pan head screws available (4 each) - pan head not SHCS
;M3x30 SHCS;13;0;Don't have;
;M3x25 SHCS;10;0;Don't have;
;M3x20 SHCS;3;0;Don't have;
;M3x16 SHCS;27;10;Partial;10x M3*16 pan head screws available (5 each) - pan head not SHCS
;M3x12 SHCS;73;0;Don't have;
;M3x8 SHCS;140;0;Don't have;
;M3x6 BHCS;59;36;Partial;36x M3*6 pan head screws available (18 each) - pan head not BHCS
;M3x10 FHCS;2;0;Don't have;
;M3x6 FHCS;17;0;Don't have;
;M3 Locknut;6;0;Don't have;
;M3 Washer;4;12;Have;12x M3 split washers from Ender 3 (6 each)
;2020 Drop-in T-nut, M3;86;0;Don't have;16x M4 T-slot nuts available (wrong size)
;M3 Hammerhead T-Nut;55;0;Don't have;
;M3xD5xL4 Heat Set;109;0;Don't have;
;M2x10 Selftapping screw;17;0;Don't have;4x M2*10 socket head screws available (different type)
Motion;GT2 20T Pulley (5mm ID 6mm W);3;4;Have;4x 2GT-d5-20-6mm pulleys from Ender 3 (2 each) - exact spec match
;GT2 20T Toothed Idler (5mm ID 6mm W);2;0;Don't have;
;F695 Bearing;26;0;Don't have;52x 625ZZ available (5x16x5 vs F695 5x17x5 - not interchangeable)
;GE5C Spherical Bearing;3;0;Don't have;
;TR8x4 Leadscrew Nut;3;0;Don't have;2x T8x8 Z nuts available (different pitch)
;5x30mm Shaft;1;0;Don't have;
;BMG Extruder Components Kit;1;0;Don't have;Ender 3 extruder (E motor bracket/housing/gear) not compatible
;Linear Rail MGN12H 300mm;1;0;Don't have;Not yet purchased (see Ender3Trident parts.md)
;Linear Rail MGN9H 300mm;5;0;Don't have;Not yet purchased (see Ender3Trident parts.md)
