Trident 250mm BOM
Category,Part Name,Specification,UNIT,Qty
Fasteners,"2020 Drop-in T-nut, M5",,PCS,69
Fasteners,M5x40 BHCS,,PCS,4
Fasteners,M5x30 BHCS,,PCS,4
Fasteners,M5x16 BHCS,,PCS,58
Fasteners,M5x10 BHCS,,PCS,45
Fasteners,M5 1mm Spacer,,PCS,24
Fasteners,M5xD7xL6 Heat Set,,PCS,15
Fasteners,M4x6 BHCS,,PCS,7
Fasteners,M4 Knurled Nut,,PCS,3
Fasteners,M3x50 SHCS,,PCS,2
Fasteners,M3x40 SHCS,,PCS,9
Fasteners,M3x30 SHCS,,PCS,13
Fasteners,M3x25 SHCS,,PCS,10
Fasteners,M3x20 SHCS,,PCS,3
Fasteners,M3x16 SHCS,,PCS,27
Fasteners,M3x12 SHCS,,PCS,73
Fasteners,M3x8 SHCS,,PCS,140
Fasteners,M3x6 BHCS,,PCS,59
Fasteners,M3x10 FHCS,,PCS,2
Fasteners,M3x6 FHCS,,PCS,17
Fasteners,M3 Locknut,,PCS,6
Fasteners,M3 Washer,,PCS,4
Fasteners,"2020 Drop-in T-nut, M3",,PCS,86
Fasteners,M3 Hammerhead T-Nut,,PCS,55
Fasteners,M3xD5xL4 Heat Set,,PCS,109
Fasteners,M2x10 Selftapping screw,,PCS,17
Motion,GT2 20T Pulley (5mm ID 6mm W),,PCS,3
Motion,GT2 20T Toothed Idler (5mm ID 6mm W),,PCS,2
Motion,F695 Bearing,,PCS,26
Motion,GE5C Spherical Bearing,,PCS,3
Motion,TR8x4 Leadscrew Nut,,PCS,3
Motion,5x30mm Shaft,,PCS,1
Motion,BMG Extruder Components Kit,,PCS,1
Motion,Linear Rail MGN12H 300mm,,PCS,1
Motion,Linear Rail MGN9H 300mm,,PCS,5
Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - 1690mm,,PCS,2
Vibration Management,Rubber Foot,,PCS,4
Electronics,NEMA17 Motor 17HS19-2004S,,PCS,2
Electronics,SPDT KW10 Limit Micro Switch,,PCS,3
Electronics,"Omron TL-Q5MC2 - NPN, NC, 5mm Sense Inductive Probe",,PCS,1
Electronics,E3D V6 Bowden Hotend Kit (24V),,PCS,1
Electronics,50x50x15 Centrifugal Fan (24V),,PCS,1
